# SPDX-FileCopyrightText: 2026 Priya Vijai Kalyan <priyavijai.kalyan2007@proton.me>
# SPDX-FileCopyrightText: 2026 Outcrop Inc
# SPDX-License-Identifier: MIT
# Repository: instructions
# File GUID: 9c816275-a3bc-49d7-b02e-ce7e50b32ee0
# Created: 2026

Framework|Github Link or Nuget Link|Description|Quality|Recommendation
OrchardCore.Localization.Core|https://github.com/OrchardCMS/OrchardCore|PO file localization from Orchard. Alternative to resx files with better tooling.|Very Good - PO files are easier to manage, good tooling|Recommended - Better workflow than resx for translation management
||||
=== CLOUD SDKs ===||||Cloud provider integrations
AWSSDK.Extensions.NETCore.Setup|https://nuget.org/packages/AWSSDK.Extensions.NETCore.Setup|ASP.NET Core integration for AWS SDK. DI registration, configuration binding.|Excellent - Official AWS package, clean integration|Essential if using AWS - Required for proper AWS SDK integration
Azure.Identity|https://github.com/Azure/azure-sdk-for-net|Azure SDK authentication. Managed identities, service principals, chained credentials.|Excellent - Official Azure package, supports all auth scenarios|Essential if using Azure - Required for Azure service authentication
Google.Cloud.Storage.V1|https://github.com/googleapis/google-cloud-dotnet|Google Cloud Storage client and other GCP services.|Excellent - Official Google packages, comprehensive coverage|Essential if using GCP - Official GCP .NET SDK
||||
=== IDEMPOTENCY ===||||Idempotent API requests
IdempotentAPI|https://github.com/ikyriak/IdempotentAPI|Idempotency middleware for ASP.NET Core. Prevents duplicate processing of retried requests.|Very Good - Simple to add, important for reliability|Highly Recommended - Essential for webhook receivers and critical APIs
||||
=== OUTBOX PATTERN ===||||Reliable message publishing
CAP|https://github.com/dotnetcore/CAP|Event bus with transactional outbox. Ensures reliable message publishing with eventual consistency.|Very Good - Built-in outbox pattern, multiple broker support|Highly Recommended - Solves distributed transaction problem elegantly
MassTransit Outbox|Part of MassTransit|Transactional outbox built into MassTransit. Works with EF Core.|Excellent - Integrated with MassTransit, well-documented|Essential if using MassTransit - Enable outbox for reliable messaging
||||
=== SPECIFICATION PATTERN ===||||Query specifications and repository patterns
Ardalis.Specification|https://github.com/ardalis/Specification|Generic Specification pattern for querying. Works with EF Core, reduces repository complexity.|Very Good - Clean implementation, good documentation|Recommended - Useful for complex query composition
||||
=== GUARD CLAUSES ===||||Input validation and guard clauses
Ardalis.GuardClauses|https://github.com/ardalis/GuardClauses|Fluent guard clause library. Validate method inputs with clear, chainable syntax.|Very Good - Simple, extensible, clear code|Recommended - Makes parameter validation cleaner
||||
=== EXTENSIONS & UTILITIES ===||||General utility libraries
Humanizer|https://github.com/Humanizr/Humanizer|String manipulation and humanization. Pluralization, casing, date humanization, file sizes.|Excellent - Very useful, extensive features, well-maintained|Highly Recommended - Essential for user-friendly formatting
Bogus|https://github.com/bchavez/Bogus|Fake data generation. Test data, sample data, seeding.|Excellent - Comprehensive, deterministic, great for seeding|Highly Recommended - Use for test data and demo environments
Polly.Contrib.WaitAndRetry|https://github.com/Polly-Contrib/Polly.Contrib.WaitAndRetry|Retry delay strategies for Polly. Jitter, decorrelated backoff.|Very Good - Important for proper distributed retry behavior|Recommended - Better backoff strategies than default Polly
||||
=== CODE GENERATION ===||||Source generators and scaffolding
System.Text.Json Source Generators|Built into .NET|Compile-time JSON serialization. Faster startup, AOT compatible.|Excellent - Built-in, significant performance improvement|Highly Recommended - Use for production JSON serialization
Mapperly|https://github.com/riok/mapperly|Compile-time object mapper using source generators. Zero runtime overhead.|Excellent - Fastest mapper, no runtime reflection|Recommended - Consider over AutoMapper/Mapster for performance-critical paths
||||
=== BENCHMARKING ===||||Performance testing and benchmarking
BenchmarkDotNet|https://github.com/dotnet/BenchmarkDotNet|Benchmarking library. Accurate measurements, statistical analysis, multiple runtimes.|Excellent - Industry standard for .NET benchmarking, used by Microsoft|Essential for performance work - Only serious benchmarking tool for .NET
